iter	RMSE
0	3887.976356
1	3742.916759
2	3602.647988
3	3468.284808
4	3339.146774
5	3215.776405
6	3097.363075
7	2982.978596
8	2873.180678
9	2769.515643
10	2670.440329
11	2573.494551
12	2481.01785
13	2392.647265
14	2307.490791
15	2226.083593
16	2147.807448
17	2073.01423
18	2000.575506
19	1932.736413
20	1866.755997
21	1804.574911
22	1744.143784
23	1686.821039
24	1631.699663
25	1579.267427
26	1528.693608
27	1479.616754
28	1433.758836
29	1389.948829
30	1348.206324
31	1308.300817
32	1269.664182
33	1233.257689
34	1199.004394
35	1165.138883
36	1133.658157
37	1103.523297
38	1075.170977
39	1047.641424
40	1021.918546
41	997.337082
42	974.1695741
43	951.7992006
44	931.0609252
45	911.1127993
46	892.6113185
47	874.7517204
48	857.7954595
49	841.9950802
50	826.8369348
51	812.2611757
52	798.7841635
53	785.9909054
54	774.0645911
55	762.6264742
56	752.1177628
57	742.0150024
58	732.3048687
59	723.0555762
60	714.4108656
61	706.235034
62	698.4841067
63	691.3332685
64	684.460574
65	678.075611
66	672.0668204
67	666.5850978
68	661.1025229
69	656.2933502
70	651.4973507
71	647.0732238
72	642.8032736
73	638.9016546
74	635.2785969
75	631.7985602
76	628.5045565
77	625.4245601
78	622.5167905
79	619.8325064
80	617.2505567
81	614.8073163
82	612.4672062
83	610.2902241
84	608.3170698
85	606.4422473
86	604.6914099
87	602.8945821
88	601.3075083
89	599.764413
90	598.3760899
91	596.9669183
92	595.7028014
93	594.4557127
94	593.3180791
95	592.2024156
96	591.1331616
97	590.1352815
98	589.2827116
99	588.3803892
100	587.5373112
101	586.8312254
102	586.1454207
103	585.3810146
104	584.6528142
105	583.9796716
106	583.398518
107	582.8047633
108	582.271882
109	581.7422017
110	581.1945812
111	580.6750094
112	580.1877687
113	579.7166064
114	579.2394692
115	578.8148713
116	578.3478683
117	578.000111
118	577.6516017
119	577.2905141
120	576.9637263
121	576.6541877
122	576.2694433
123	575.9244796
124	575.6451449
125	575.3616175
126	575.0839461
127	574.7721734
128	574.4942466
129	574.2488742
130	573.986513
131	573.7352148
132	573.4594974
133	573.1401349
134	572.8890901
135	572.598449
136	572.3361053
137	572.1270336
138	571.8956662
139	571.6772162
140	571.4287108
141	571.2356961
142	571.0417075
143	570.8125456
144	570.6053144
145	570.427598
146	570.2485254
147	570.0715194
148	569.8445936
149	569.7054799
150	569.5306599
151	569.3883981
152	569.2333179
153	569.039102
154	568.9022149
155	568.764578
156	568.5902071
157	568.455336
158	568.3019898
159	568.1349284
160	567.986046
161	567.8515237
162	567.7170827
163	567.5807741
164	567.4180973
165	567.3157235
166	567.2068307
167	567.1007738
168	566.8863183
169	566.734367
170	566.6124325
171	566.5124484
172	566.4388338
173	566.3096768
174	566.1520702
175	565.9612753
176	565.7819784
177	565.6347068
178	565.5255721
179	565.4116383
180	565.3224867
181	565.2305924
182	565.0849486
183	564.990907
184	564.8375421
185	564.7517938
186	564.6219961
187	564.4867019
188	564.3585932
189	564.1704051
190	564.0134914
191	563.9110245
192	563.8619371
193	563.7320983
194	563.6303628
195	563.4903953
196	563.3588777
197	563.2722774
198	563.162334
199	563.0816576
200	562.995268
201	562.9063387
202	562.7554426
203	562.6818409
204	562.5486764
205	562.3649305
206	562.1333307
207	562.0707158
208	561.9190345
209	561.805523
210	561.6974592
211	561.5748163
212	561.4553392
213	561.3027413
214	561.2145391
215	561.1217024
216	560.9742223
217	560.8968325
218	560.7677353
219	560.5961831
220	560.5148187
221	560.4790239
222	560.3508062
223	560.2088129
224	560.1056341
225	559.9843483
226	559.8708069
227	559.7406809
228	559.5838545
229	559.4893089
230	559.3962273
231	559.2616209
232	559.21146
233	559.1058837
234	559.0117121
235	558.9513659
236	558.8854225
237	558.7865374
238	558.6914611
239	558.5919564
240	558.4806613
241	558.3813255
242	558.2981243
243	558.1838794
244	558.0687858
245	557.952144
246	557.8986991
247	557.77552
248	557.6712584
249	557.5956702
250	557.5149041
251	557.4357266
252	557.3610519
253	557.2906273
254	557.1911427
255	557.1440376
256	557.047008
257	556.9442687
258	556.8037366
259	556.6884435
260	556.5343748
261	556.4759579
262	556.4148865
263	556.3004501
264	556.220754
265	556.1478549
266	556.1070193
267	555.9833756
268	555.8762427
269	555.7956224
270	555.7918773
271	555.6962038
272	555.6327333
273	555.5174972
274	555.4799489
275	555.377006
276	555.3139218
277	555.2054444
278	555.09604
279	555.0198498
280	554.9314762
281	554.8678274
282	554.6863618
283	554.6392023
284	554.5202833
285	554.3571394
286	554.247044
287	554.1633141
288	554.0282207
289	553.9121553
290	553.8323928
291	553.7434338
292	553.6163813
293	553.5152915
294	553.4554105
295	553.3301454
