iter	Passed	Remaining
0	50	19995
1	87	17406
2	164	21795
3	203	20140
4	242	19121
5	308	20276
6	347	19486
7	385	18905
8	448	19472
9	487	18997
10	525	18589
11	588	19033
12	626	18638
13	662	18272
14	726	18644
15	788	18925
16	827	18652
17	866	18399
18	929	18630
19	967	18382
20	1031	18608
21	1068	18366
22	1131	18543
23	1194	18717
24	1233	18499
25	1271	18295
26	1311	18119
27	1350	17946
28	1389	17775
29	1450	17884
30	1489	17731
31	1528	17580
32	1569	17449
33	1604	17269
34	1641	17118
35	1680	16994
36	1719	16869
37	1757	16743
38	1798	16646
39	1837	16539
40	1907	16704
41	1971	16806
42	2009	16686
43	2074	16783
44	2140	16883
45	2180	16777
46	2219	16667
47	2280	16722
48	2322	16635
49	2360	16524
50	2424	16593
51	2487	16647
52	2527	16545
53	2566	16442
54	2602	16322
55	2667	16387
56	2729	16424
57	2767	16316
58	2830	16358
59	2869	16262
60	2933	16304
61	2972	16206
62	3036	16242
63	3099	16273
64	3138	16175
65	3179	16092
66	3218	15996
67	3257	15905
68	3324	15947
69	3363	15854
70	3401	15762
71	3440	15672
72	3504	15696
73	3568	15721
74	3604	15619
75	3641	15524
76	3707	15550
77	3745	15463
78	3784	15377
79	3824	15297
80	3863	15216
81	3902	15134
82	3941	15052
83	3980	14973
84	4019	14895
85	4083	14909
86	4146	14916
87	4186	14841
88	4226	14767
89	4265	14691
90	4303	14612
91	4344	14544
92	4382	14467
93	4422	14396
94	4461	14324
95	4525	14329
96	4561	14250
97	4624	14250
98	4662	14176
99	4705	14115
100	4744	14047
101	4783	13975
102	4853	13993
103	4912	13982
104	4952	13913
105	5015	13912
106	5078	13907
107	5117	13836
108	5156	13765
109	5221	13764
110	5259	13692
111	5323	13688
112	5363	13622
113	5402	13553
114	5441	13484
115	5480	13418
116	5522	13356
117	5584	13346
118	5620	13272
119	5684	13264
120	5746	13251
121	5786	13186
122	5853	13183
123	5893	13117
124	5932	13051
125	5971	12986
126	6011	12921
127	6049	12855
128	6112	12840
129	6150	12773
130	6211	12754
131	6277	12744
132	6340	12728
133	6403	12712
134	6442	12646
135	6508	12634
136	6548	12570
137	6583	12498
138	6621	12432
139	6660	12369
140	6723	12350
141	6763	12289
142	6828	12271
143	6869	12213
144	6910	12152
145	6949	12090
146	6988	12027
147	7027	11965
148	7092	11946
149	7130	11884
150	7197	11867
151	7237	11808
152	7276	11747
153	7316	11687
154	7379	11664
155	7442	11640
156	7481	11579
157	7524	11525
158	7560	11459
159	7596	11394
160	7634	11333
161	7697	11308
162	7763	11287
163	7802	11227
164	7840	11167
165	7904	11142
166	7944	11083
167	8007	11057
168	8045	10997
169	8109	10971
170	8173	10945
171	8211	10885
172	8250	10825
173	8289	10767
174	8328	10707
175	8389	10678
176	8429	10620
177	8468	10562
178	8509	10506
179	8548	10447
180	8584	10386
181	8619	10324
182	8657	10266
183	8719	10235
184	8760	10180
185	8800	10125
186	8864	10096
187	8927	10066
188	8966	10010
189	9030	9981
190	9090	9947
191	9129	9890
192	9166	9831
193	9205	9774
194	9269	9744
195	9309	9689
196	9372	9658
197	9412	9602
198	9452	9547
199	9492	9492
200	9531	9436
201	9567	9377
202	9628	9343
203	9667	9288
204	9706	9232
205	9745	9177
206	9786	9124
207	9850	9092
208	9914	9060
209	9955	9007
210	9993	8951
211	10055	8916
212	10118	8883
213	10157	8828
214	10221	8795
215	10284	8760
216	10348	8727
217	10410	8691
218	10471	8654
219	10513	8601
220	10549	8544
221	10609	8506
222	10647	8451
223	10709	8414
224	10748	8359
225	10815	8327
226	10854	8272
227	10894	8218
228	10933	8164
229	10995	8127
230	11034	8073
231	11074	8019
232	11112	7964
233	11178	7929
234	11217	7876
235	11256	7822
236	11324	7788
237	11363	7735
238	11402	7681
239	11441	7627
240	11483	7576
241	11523	7523
242	11582	7483
243	11621	7429
244	11685	7392
245	11723	7339
246	11762	7286
247	11827	7249
248	11866	7195
249	11903	7142
250	11943	7089
251	11983	7037
252	12021	6984
253	12060	6932
254	12123	6893
255	12161	6840
256	12199	6788
257	12263	6749
258	12304	6698
259	12369	6660
260	12409	6609
261	12450	6557
262	12494	6508
263	12560	6470
264	12596	6417
265	12659	6377
266	12722	6337
267	12761	6285
268	12800	6233
269	12865	6194
270	12877	6130
271	12939	6089
272	13002	6048
273	13042	5997
274	13105	5957
275	13143	5905
276	13182	5853
277	13221	5802
278	13260	5750
279	13298	5699
280	13339	5649
281	13379	5598
282	13418	5547
283	13458	5497
